Date,SPY
1/14/2016,-0.004077486
1/21/2016,0.024508533
1/28/2016,0.010790683
2/4/2016,-0.030685181
2/11/2016,0.024343078
2/18/2016,-0.002903202
2/25/2016,0.025413925
3/3/2016,-0.003015449
3/10/2016,0.013993435
3/17/2016,0.011188435
3/24/2016,0.009398792
3/31/2016,-0.008882605
4/7/2016,-0.002422031
4/14/2016,0.009134643
4/21/2016,-0.005616643
4/28/2016,-0.015237433
5/5/2016,0.016779809
5/12/2016,-0.007990161
5/19/2016,0.014445225
5/26/2016,0.002675724
6/2/2016,0.006705539
6/9/2016,-0.020388758
6/16/2016,0.008538869
6/23/2016,-0.023546373
6/30/2016,0.008468049
7/7/2016,0.025231182
7/14/2016,0.005909073
7/21/2016,-0.001566311
7/28/2016,-0.004479869
8/4/2016,0.009251529
8/11/2016,0.001470067
8/18/2016,0.002747679
8/25/2016,0.000688423
9/1/2016,0.007590432
9/8/2016,-0.026391522
9/15/2016,0.006324503
9/22/2016,-0.001158237
9/29/2016,-0.009047432
10/6/2016,-0.010202494
10/13/2016,0
10/20/2016,-0.000513414
10/27/2016,-0.012772765
11/3/2016,0.020835248
11/10/2016,0.008780527
11/17/2016,0.012438841
11/24/2016,0.000951453
12/1/2016,0.005989354
12/8/2016,0.014069522
12/15/2016,0.008209435
12/22/2016,0.002214481
12/29/2016,0.003743524
1/5/2017,-0.000529739
1/12/2017,-0.003743054
1/19/2017,0.003748683
1/26/2017,-0.008886001
2/2/2017,0.005799175
2/9/2017,0.019455912
2/16/2017,0.006683119
2/23/2017,0.000804208
3/2/2017,-0.011594085
3/9/2017,0.001437191
3/16/2017,-0.017590159
3/23/2017,0.004439106
3/30/2017,-0.00025451
4/6/2017,0.001192346
4/13/2017,-0.000683719
4/20/2017,0.021890051
4/27/2017,0.001551919
5/4/2017,0.004025481
5/11/2017,0.000875756
5/18/2017,0.017937615
5/25/2017,0.003698965
6/1/2017,0.007331326
6/8/2017,0.003652663
6/15/2017,-0.00018398
6/22/2017,-0.006668165
6/29/2017,-0.005256845
7/6/2017,-0.002388903
7/13/2017,0.006761919
7/20/2017,0.00174114
7/27/2017,-0.000444523
8/3/2017,-0.000727335
8/10/2017,-0.002993017
8/17/2017,-0.00607428
8/24/2017,0.001185845
8/31/2017,0.000203303
9/7/2017,0.012758168
9/14/2017,0.004159284
9/21/2017,-0.003918934
9/28/2017,0.011237519
10/5/2017,0.005767043
10/12/2017,0.001764642
10/19/2017,0.003284756
10/26/2017,0.007285976
11/2/2017,0.004582908
11/9/2017,-0.00532594
11/16/2017,0.013843275
11/23/2017,0.011972629
11/30/2017,0.001827107
12/7/2017,0.013447712
12/14/2017,0.00669407
12/21/2017,0.000599213
12/28/2017,0.005424319
1/4/2018,0.015048024
1/11/2018,0.010396895
1/18/2018,0.013161115
1/25/2018,-0.005014196
2/1/2018,-0.045299456
2/8/2018,-0.006239111
2/15/2018,0.006713887
2/22/2018,0.016219269
3/1/2018,0.004527953
3/8/2018,0.014443784
3/15/2018,-0.011859203
3/22/2018,-0.036349302
3/29/2018,0.003617698
4/5/2018,0.006032733
4/12/2018,0.024378134
4/19/2018,-0.027404812
4/26/2018,0.005120914
5/3/2018,0.014133755
5/10/2018,0.005937062
5/17/2018,0.001359277
5/24/2018,-0.015876503
5/31/2018,0.009134106
6/7/2018,0.005479479
6/14/2018,-0.004650275
6/21/2018,-0.015835255
6/28/2018,0.005754374
7/5/2018,0.029531228
7/12/2018,0.013039455
7/19/2018,0.001956823
7/26/2018,-0.009436673
8/2/2018,0.016805574
8/9/2018,-0.00546508
8/16/2018,0.016182881
8/23/2018,0.013103961
8/30/2018,-0.00572938
9/6/2018,6.91E-05
9/13/2018,0.006191347
9/20/2018,0.002905607
9/27/2018,0.00579577
10/4/2018,-0.014808574
10/11/2018,0.007546104
10/18/2018,-0.02438894
10/25/2018,0.009234117
11/1/2018,0.016590976
11/8/2018,-0.031849061
11/15/2018,-0.022502453
11/22/2018,0.01275411
11/29/2018,-0.015769597
12/6/2018,-0.022645735
12/13/2018,-0.039102065
12/20/2018,-0.061894228
12/27/2018,0.015192052
1/3/2019,0.026341053
1/10/2019,0.00922596
1/17/2019,0.007203363
1/24/2019,0
1/31/2019,0.020629599
2/7/2019,0.004986581
2/14/2019,0.01040047
2/21/2019,0.003268579
2/28/2019,-0.000644981
3/7/2019,0.00778857
3/14/2019,0.008189181
3/21/2019,-0.001527453
3/28/2019,0.022599755
4/4/2019,0.003107254
4/11/2019,0.006486384
4/18/2019,0.011849594
4/25/2019,0.006125137
5/2/2019,-0.013296417
5/9/2019,-0.014363668
5/16/2019,0.005086846
5/23/2019,-0.019185615
5/30/2019,0.008121467
6/6/2019,0.020992055
6/13/2019,0.013904617
6/20/2019,-0.003022622
6/27/2019,0.020518575
7/4/2019,-0.005388133
7/11/2019,0.003918158
7/18/2019,0.007691084
7/25/2019,-0.002388824
8/1/2019,-0.032377118
8/8/2019,0.015904382
8/15/2019,0.021803422
8/22/2019,-0.019079833
8/29/2019,0.00640372
9/5/2019,0.01390973
9/12/2019,0.00223157
9/19/2019,-0.012831925
9/26/2019,-0.014716596
10/3/2019,0.001631513
10/10/2019,0.02612712
10/17/2019,0.002044382
10/24/2019,0.011104461
10/31/2019,0.009502221
11/7/2019,0.006186823
11/14/2019,0.009155696
11/21/2019,0.010650934
11/28/2019,-0.01879678
12/5/2019,0.006646173
12/12/2019,0.016379521
12/19/2019,0.010073321
12/26/2019,0.001961121
1/2/2020,0.002703207
1/9/2020,0.009246277
1/16/2020,0.009475993
1/23/2020,-0.013430349
1/30/2020,0.007470634
2/6/2020,0.007210341
2/13/2020,-0.002044763
2/20/2020,-0.075929815
2/27/2020,-0.036147682
3/5/2020,-0.078117814
3/12/2020,-0.07858297
3/19/2020,0.019082324
3/26/2020,0.044410347
4/2/2020,0.077107578
4/9/2020,0.035616931
4/16/2020,-0.016993159
4/23/2020,0.023755021
4/30/2020,-0.02394203
5/7/2020,0.008513843
5/14/2020,0.036825339
5/21/2020,0.007240607
5/28/2020,0.014990041
6/4/2020,0.027580499
6/11/2020,-0.018934403
6/18/2020,0.005657448
6/25/2020,0.014041885
7/2/2020,0.010498535
7/9/2020,0.008665887
7/16/2020,0.009818198
7/23/2020,-0.017408052
7/30/2020,0.015194102
8/6/2020,0.002077632
8/13/2020,0.003556366
8/20/2020,0.020430952
8/27/2020,0.014471692
9/3/2020,-0.06846503
9/10/2020,0.001118281
9/17/2020,-0.021243748
9/24/2020,0.030157343
10/1/2020,0.000119231
10/8/2020,0.027497369
10/15/2020,-0.013077277
10/22/2020,-0.013159184
10/29/2020,0.028684267
11/5/2020,0.0305643
11/12/2020,0.011074657
11/19/2020,0.019479134
11/26/2020,0.009264905
12/3/2020,0.009215228
12/10/2020,0.007469134
12/17/2020,-0.003686516
12/24/2020,0.010582847
12/31/2020,-0.001774316
1/7/2021,0.013974041
1/14/2021,-0.003001643
1/21/2021,-0.000260517
1/28/2021,0.019069899
2/4/2021,0.021998129
2/11/2021,0.00569111
2/18/2021,-0.012462184
2/25/2021,-0.013349625
3/4/2021,0.015075219
3/11/2021,0.016248341
3/18/2021,-0.016322592
3/25/2021,0.018605671
4/1/2021,0.024701532
4/8/2021,0.015420899
4/15/2021,0.00174987
4/22/2021,0.003484936
4/29/2021,-0.00426447
5/6/2021,-0.003704211
5/13/2021,0.01610714
5/20/2021,0.017962328
5/27/2021,0.001431673
6/3/2021,0.00463925
6/10/2021,0.006711694
6/17/2021,0.005648368
6/24/2021,0.012068153
7/1/2021,0.011376956
7/8/2021,0.002601044
7/15/2021,-0.011874264
7/22/2021,0.010263561
7/29/2021,0.0052869
8/5/2021,0.008428565
8/12/2021,0.000585814
8/19/2021,0.020014496
8/26/2021,0.005903214
9/2/2021,-0.000752546
9/9/2021,-0.014947527
9/16/2021,-0.028714831
9/23/2021,-0.009454985
9/30/2021,-0.00310735
10/7/2021,-0.002943218
10/14/2021,0.035525474
10/21/2021,0.00784677
10/28/2021,0.017535276
11/4/2021,0.005723837
11/11/2021,0.01220826
11/18/2021,0.000106807
11/25/2021,-0.029567139
12/2/2021,0.039467378
12/9/2021,-0.013119783
12/16/2021,-0.012565078
12/23/2021,0.019628301
12/30/2021,0.00014657
1/6/2022,0.002925019
1/13/2022,-0.030847911
1/20/2022,-0.038251234
1/27/2022,0.045156601
2/3/2022,-0.014015537
2/10/2022,-0.025003321
2/17/2022,-0.038132493
2/24/2022,0.019030661
3/3/2022,-0.049418772
3/10/2022,-0.002901177
3/17/2022,0.035275561
3/24/2022,0.03999549
3/31/2022,-0.01672125
4/7/2022,-0.018431344
4/14/2022,0.003902468
4/21/2022,-0.064334033
4/28/2022,-0.00213289
5/5/2022,-0.069850464
5/12/2022,0.039643613
5/19/2022,0.005180503
5/26/2022,0.039157449
6/2/2022,0.015014974
6/9/2022,-0.090827271
6/16/2022,-0.00661872
6/23/2022,0.016720491
6/30/2022,0.004259267
7/7/2022,-0.006314484
7/14/2022,0.035477638
7/21/2022,-0.009828453
7/28/2022,0.017504465
8/4/2022,-0.007479775
8/11/2022,0.023119701
8/18/2022,-0.033516904
8/25/2022,-0.037372872
9/1/2022,-0.011184696
9/8/2022,-0.011765308
9/15/2022,-0.02263617
9/22/2022,-0.037123425
9/29/2022,0.020079352
10/6/2022,-0.051314027
10/13/2022,0.040862709
10/20/2022,0.04455906
10/27/2022,0.018323649
11/3/2022,0
